PLOT_NO;MeanFrac;ENL;SSCI
C32;2.231604592;53.72827636;24.48330212
E23;2.386881154;41.23386452;25.42441194
E24;2.225015439;47.39175531;21.88600661
E31;2.738388515;21.89490285;22.39859791
E33;2.453019137;33.9046315;23.61192357
E34;1.655631617;29.42976615;5.502204414
F21;2.560105072;25.20644416;20.77249124
F22;2.332441592;52.16562659;28.47604593
F27;1.786752309;52.08479732;9.916956269
F28;2.945352931;21.97083869;28.15147668
F34;2.402944161;43.97945959;27.58217437
G17;2.131207283;25.04913422;11.44064557
G22;2.493985905;33.17364308;24.53724499
G24;1.921957525;31.92301507;9.609428893
G33;8.649053631;5.033439103;32.67669982
H10/I10;2.912544452;20.94073795;25.83308084
H25;1.864035474;59.70511977;12.76439111
H31;2.12013981;41.20270903;16.35263353
H9/I9;2.22754095;41.67493057;19.83147346
I11;2.549975282;41.73742996;32.88119864
I12;2.397384536;34.23206745;21.96216414
I26;1.932502959;54.39833099;13.91334657
I27;2.20895814;15.8310606;8.925588149
I28;2.291044391;30.7619996;17.12283407
J21;2.667785863;34.13873311;31.95194273
J27;2.445669759;27.36617496;19.2898077
K19;2.17905175;44.37089266;19.18262201
K3;2.292692596;27.70799818;15.73868151
K9;2.842456464;25.8839272;29.93286536
L11;3.234994638;20.08913875;33.86196218
L21;2.620329692;29.6906561;26.2165092
L22;2.608092531;28.79572754;25.05761783
L23;1.952752556;43.47975382;12.48553486
M21;2.213390475;50.8668341;22.68850474
M22;2.037129839;59.75140304;18.36310275
M7;2.850494963;28.42566411;33.32354457
M9;3.238268549;18.85300686;31.52257635
N11;2.008182245;21.30051227;8.437102713
N13;2.038972426;37.38616418;13.19688845
N14;2.157680635;35.61407994;15.60449272
N17;3.312384162;21.00743523;38.34989311
N20;2.137442533;42.67690546;17.31055148
N29;2.812914253;12.27655576;13.37660429
N8;2.821872694;27.89573693;31.5938116
N9;3.063095874;26.54303878;39.26517642
O22;2.5204289;31.5854123;24.33150544
O27;1.682889323;53.14485212;7.909035463
O6;2.64649304;36.63272139;33.26693752
P19;2.251865718;47.63921593;23.01987733
P23;2.142120744;39.78490131;16.54472431
P26;3.046899196;24.42713529;35.17731446
P27;3.267382621;29.59680483;55.19986944
P29;1.923510678;36.83034609;10.58124203
P7;2.17074979;31.62629908;14.54274679
Q13;2.760552472;20.51468509;21.49369616
Q16;2.437987951;43.43214047;28.8119927
Q21;2.840972434;23.38612814;26.87774978
Q7;2.823388997;30.04438948;34.18429876
Q9;2.604242194;28.82518506;24.95794335
R14;2.894737995;21.339983;25.8698079
R17;1.844168251;57.26829313;11.90949577
S10;1.930828201;70.10186213;16.38309579
S14;3.109265433;31.30281438;49.72440641
S15;2.953191535;30.71641111;40.79935972
S18;1.716190934;66.25613673;9.630690954
T15;2.74341373;31.01655885;32.01258881
T17;2.127242711;47.3074526;18.37728934
T18;2.226818585;48.81581391;22.48109868
U10;2.343959974;54.04001035;29.92260626
U15;2.582068315;33.02447661;27.59012874
V12/W12;2.97198488;31.93147454;43.4951159
W12/X12;2.448145207;34.81995502;24.01298198
W13;2.04747634;58.13246514;18.38216039
W14;2.111566698;47.33980287;17.86959905